movieId,poster_url
1,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,https://m.media-amazon.com/images/M/MV5BYTFkMjFmODgtYzRiZi00NmQwLTliZWMtMzRhMWQ5ZmY3ZDExXkEyXkFqcGc@._V1_.jpg
3,https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,https://image.tmdb.org/t/p/w500/3s9O5af2xWKWR5JzP2iJZpZeQQg.jpg
5,https://m.media-amazon.com/images/M/MV5BYzFlNzg2NTMtZmQ2MS00NzhjLTgxZGUtNzcxYzQ2MTU3YWFmXkEyXkFqcGc@._V1_.jpg
6,https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_.jpg
7,https://m.media-amazon.com/images/M/MV5BYTU1Yjc1YjctNzJlZS00Y2UxLTkxNGQtMjVlNGUwNGNmZDFjXkEyXkFqcGc@._V1_.jpg
8,https://m.media-amazon.com/images/M/MV5BNDM4YTBjODEtZmY4NC00MWNiLWEzOGMtMzM0ZmVhZGFlYzg3XkEyXkFqcGc@._V1_.jpg
9,https://m.media-amazon.com/images/M/MV5BMzRiZjExZGMtNDExMy00Mzc5LWFhMzctOWU2YmI2ZmJjMmYyXkEyXkFqcGc@._V1_.jpg
10,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@._V1_.jpg
11,https://m.media-amazon.com/images/M/MV5BNzQzNTBhOTMtNmUzMy00MzQyLTk3NzQtM2EwNDIwZDQwYjE5XkEyXkFqcGc@._V1_.jpg
12,https://m.media-amazon.com/images/M/MV5BMzc4NjkyOTktMDlhNC00MDI5LTgxNGEtNjRhMzVmMjFhZTIyXkEyXkFqcGc@._V1_.jpg
13,https://m.media-amazon.com/images/M/MV5BMmU4MjVlZTMtMDRhMi00NjkzLWFhNzQtMDcwMTUwNWYxZTZiXkEyXkFqcGc@._V1_.jpg
14,https://m.media-amazon.com/images/M/MV5BMmE2YjM0NGItZmE3Yy00NjMxLWEzOGItNmY4ZWVkNDVlYzNkXkEyXkFqcGc@._V1_.jpg
15,https://m.media-amazon.com/images/M/MV5BZTQ3OWY2NTctOTAyNS00MThjLTgyZjEtNzgzZGNiZDNhODUyXkEyXkFqcGc@._V1_.jpg
16,https://m.media-amazon.com/images/M/MV5BZjY3OTg0MWItZmY3OS00Y2M2LWEzMjgtNjAzYTk5MWNlODNmXkEyXkFqcGc@._V1_.jpg
17,https://m.media-amazon.com/images/M/MV5BMTU0OGRkMzUtOWE0Ny00N2U0LTljMTUtYjM2YmUwYWM4MmQ3XkEyXkFqcGc@._V1_.jpg
18,https://m.media-amazon.com/images/M/MV5BYmFlYTQyYjItNzQ5OC00MjZkLTk4ZTItMjA5OTNjMzkwZmFjXkEyXkFqcGc@._V1_.jpg
19,https://m.media-amazon.com/images/M/MV5BZTQyOGEzM2QtM2JmOS00NDlmLTg2N2UtNmNhOTI2OWYyMjVlXkEyXkFqcGc@._V1_.jpg
20,https://m.media-amazon.com/images/M/MV5BODgwMDEyMDUtZDFhYi00OTAwLThmYzYtNzI5NjUxNGEzMjJiXkEyXkFqcGc@._V1_.jpg
21,https://m.media-amazon.com/images/M/MV5BODUyNzQzODQ2MV5BMl5BanBnXkFtZTcwNzkwNDk5NA@@._V1_.jpg
25,https://m.media-amazon.com/images/M/MV5BMTAzOTYwMDc5ODheQTJeQWpwZ15BbWU2MDI2Mzc4OQ@@._V1_.jpg
